dates,nzd0292-0000,nzd0292-0001,nzd0292-0002,nzd0292-0003,nzd0292-0004,nzd0292-0005,nzd0292-0015,nzd0292-0016,nzd0292-0017,nzd0292-0033,nzd0292-0034,nzd0292-0035,nzd0292-0044,nzd0292-0045,nzd0292-0046,nzd0292-0047,nzd0292-0048,nzd0292-0006,nzd0292-0007,nzd0292-0008,nzd0292-0009,nzd0292-0010,nzd0292-0011,nzd0292-0012,nzd0292-0013,nzd0292-0018,nzd0292-0019,nzd0292-0020,nzd0292-0021,nzd0292-0022,nzd0292-0023,nzd0292-0024,nzd0292-0014,nzd0292-0025,nzd0292-0026,nzd0292-0027,nzd0292-0028,nzd0292-0032,nzd0292-0037,nzd0292-0038,nzd0292-0039,nzd0292-0040,nzd0292-0041,nzd0292-0042,nzd0292-0043,nzd0292-0036,nzd0292-0029,nzd0292-0030,nzd0292-0031,satname
1999-07-09 22:05:23+00:00,,,,,,,207.49,,,,,,,,,,,,,,,200.16,,,203.15,,,,,,,,204.46,,,,,,,,,,,,,,,,,L7
1999-08-26 22:05:32+00:00,,,,,,,207.49,,273.68,,,,224.84,,,,,,,,,200.16,,,203.15,,,,,,,,204.46,,,,,,,,,,,,,,,,,L7
1999-12-25 21:59:16+00:00,,,,,,,207.49,,272.71000000000004,,,,224.84,271.64,,,,,,,,200.16,,,203.15,,,,,,,,204.46,,,,,,201.88,235.22,246.92,,,,252.32,,,,,L7
2000-01-10 21:59:16+00:00,,,,,,,,,272.71000000000004,,,,239.84,271.67499999999995,294.83,305.72,305.59,,,,,,,,,,,,,,,,211.53,,,,,,205.655,235.22,246.92,,259.29,250.61,253.32999999999998,,,,,L7
2000-05-24 22:04:34+00:00,,,257.97,,,260.47,,,271.74,,,,254.84,271.67499999999995,294.83,305.72,305.59,,,,,,234.58,,,,,,,,,,211.53,,,,,,205.655,235.22,246.92,,259.29,250.61,253.32999999999998,,,,,L7
2000-07-04 21:58:02+00:00,,,257.97,,,260.47,195.08,243.26,,,,,254.84,271.71,294.83,305.72,305.59,,,,,219.87,234.58,237.97,189.14,,,,,,220.99,,211.1,,244.03,,,245.68,209.43,,,,259.29,250.61,254.34,,,,,L7
2000-08-05 21:57:32+00:00,,,249.8,,,269.175,195.08,243.26,,,,,235.44,255.52,275.68,289.62,293.2,,,,,219.87,234.58,237.97,189.14,,,,,,220.99,,210.67,,244.03,,,245.68,,,,,,,226.31,,,,,L7
2000-11-09 21:56:45+00:00,,,249.8,,,269.175,195.08,243.26,,,,,255.26,255.52,275.68,289.62,293.2,,,,,219.87,234.58,237.97,189.14,,,,,,220.99,,210.67,,244.03,,305.24,245.68,225.8,266.07,,,293.22,281.88,226.31,,304.33,274.71,,L7
2000-11-25 21:56:47+00:00,,,241.63,,,277.88,195.08,243.26,,,,,248.67999999999998,256.985,276.40999999999997,290.03499999999997,291.61,,,,,219.87,,243.18,189.14,209.54,273.91,255.59,,259.04,220.99,,210.67,,244.03,,305.24,261.53,225.8,266.07,224.94,,293.22,281.88,241.83,,298.13,278.78,288.74,L7
2001-01-03 22:03:00+00:00,,222.06,221.73000000000002,209.77,,277.88,,,,,,,248.67999999999998,256.985,276.40999999999997,290.03499999999997,291.61,,,,,,,248.39,,209.54,273.91,255.59,,259.04,,,,,,,305.24,277.38,225.8,266.07,224.94,,293.22,281.88,241.83,,298.13,278.78,288.74,L7
2001-02-13 21:56:51+00:00,,222.06,201.83,209.77,,,,,,,,,255.29999999999998,274.5,277.14,290.45,290.02,,,,,,,248.39,,209.54,273.91,255.59,,259.04,,,,,,,305.24,277.38,225.8,266.07,224.94,,288.94000000000005,278.19,265.355,,298.13,278.78,288.74,L7
